window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
5,DQN,1,250000,0.002420037558243266,327472,88.0,90.29,17.49,26.95,0.6488,0.8162,-33.4,0.5236,55.27,1006,0.2322
5,DQN,2,500000,0.0006699376970333648,290259,176.1,126.9,22.78,25.59,0.8903,1.1188,-33.55,0.6791,54.87,1006,0.1262
5,DQN,3,250000,0.000356631506250318,833123,84.2,237.35,35.61,27.23,1.3078,1.7406,-32.23,1.1048,54.27,1006,0.2927
5,DQN,4,1000000,0.008125534680276008,447331,372.8,168.63,28.09,24.96,1.1253,1.3881,-31.61,0.8887,55.67,1006,0.001
5,DQN,5,500000,0.0002233907046814732,699436,176.2,138.51,24.33,27.32,0.8904,1.166,-33.05,0.7362,53.28,1006,0.192
5,DQN,6,500000,0.0019023897044790899,841742,182.5,118.44,21.62,26.42,0.8182,1.0226,-34.38,0.6288,54.67,1006,0.1047
5,DQN,7,1000000,0.00018024324410873815,67457,350.8,134.61,23.81,27.5,0.8661,1.0895,-34.91,0.6821,54.17,1006,0.2572
5,DQN,8,500000,6.53501271689887e-05,338491,191.1,71.95,14.54,26.64,0.5459,0.6961,-33.86,0.4295,53.78,1006,0.3454
5,DQN,9,500000,0.0028192591792176556,734362,179.6,134.05,23.74,25.47,0.9322,1.1424,-31.85,0.7453,55.07,1006,0.1984
5,DQN,10,1000000,0.00011273251776430115,450618,361.6,122.71,22.21,26.52,0.8375,1.075,-30.36,0.7315,55.07,1006,0.2628
5,DQN,11,250000,0.005614346182437019,642665,90.7,151.47,25.99,25.47,1.0202,1.2866,-30.54,0.851,56.06,1006,0.0379
5,DQN,12,500000,6.582715816119606e-05,690074,177.0,102.21,19.29,26.41,0.7304,0.8728,-37.46,0.5149,54.27,1006,0.1872
5,DQN,13,500000,0.005696895861428742,193103,175.5,174.06,28.73,26.17,1.0979,1.3544,-32.19,0.8925,55.86,1006,0.0248
5,DQN,14,500000,1.8284416937433783e-05,48202,176.1,83.78,16.47,26.05,0.6321,0.778,-33.16,0.4966,54.47,1006,0.2145
5,DQN,15,250000,0.00039792457673235195,899915,85.5,105.81,19.82,27.82,0.7124,0.9159,-34.07,0.5818,53.98,1006,0.3206
